,ligand,receptor,
0,CDH1,KLRG1,
1,ICAM1,ITGAL,
2,ICAM3,CLEC4M,
3,F2,F2R,
4,F2,F2RL2,
5,F2,F2RL3,
6,F2,ITGB3,
7,F2,ITGAV,
8,F2,THBD,
9,IAPP,CALCRL,
10,AGRP,MC2R,
11,AGRP,MC3R,
12,AGRP,MC4R,
13,AGRP,MC5R,
14,AGRP,SDC3,
15,IAPP,CALCR,
16,APP,CD74,
17,ANGPT1,TEK,
18,ANGPT2,TEK,
20,AGT,AGTR1,
21,AGT,AGTR2,
22,ANXA1,FPR1,
23,ANXA1,FPR2,
24,APELA,APLNR,
25,APLN,APLNR,
26,CCL1,CCR8,
27,CCL11,ACKR2,
28,CCL11,CCR3,
29,CCL13,ACKR2,
30,CCL13,CCR2,
31,CCL13,CCR3,
32,CCL14,ACKR2,
33,CCL14,CCR1,
34,CCL14,CCR3,
35,CCL15,CCR1,
36,CCL15,CCR3,
37,CCL16,CCR1,
38,CCL16,CCR2,
39,CCL16,CCR8,
40,CCL16,HRH4,
41,CCL17,CCR4,
42,CCL18,CCR8,
43,CCL19,ACKR4,
44,CCL19,CCR7,
45,CCL2,ACKR1,
46,CCL2,ACKR2,
47,CCL2,CCR2,
48,CCL20,CCR6,
49,CCL21,ACKR4,
50,CCL21,CCR7,
51,CCL22,CCR4,
52,CCL23,CCR1,
53,CCL24,CCR3,
54,CCL25,ACKR4,
55,CCL25,CCR9,
56,CCL26,CCR1,
57,CCL26,CCR2,
58,CCL26,CCR3,
59,CCL27,CCR10,
60,CCL28,CCR10,
61,CCL3,ACKR2,
62,CCL3,CCR1,
63,CCL3,CCR3,
64,CCL3,CCR5,
65,CCL3L1,CCR1,
66,CCL3L1,CCR3,
67,CCL4,ACKR2,
68,CCL4,CCR5,
69,CCL5,ACKR1,
70,CCL5,ACKR2,
71,CCL5,CCR1,
72,CCL5,CCR3,
73,CCL5,CCR4,
74,CCL5,CCR5,
75,CCL3L1,ACKR2,
76,CCL7,ACKR2,
77,CCL7,CCR1,
78,CCL7,CCR2,
79,CCL7,CCR3,
80,CCL7,CCR5,
81,CCL8,ACKR2,
82,CCL8,CCR1,
83,CCL8,CCR2,
84,CCL8,CCR3,
85,CCL8,CCR5,
86,PPBP,CXCR1,
87,PPBP,CXCR2,
88,CX3CL1,CX3CR1,
89,CXCL1,ACKR1,
90,CXCL1,CXCR1,
91,CXCL1,CXCR2,
92,CXCL10,CXCR3,
93,CXCL11,ACKR3,
94,CXCL11,CXCR3,
95,CXCL12,CXCR4,
96,CXCL12,DPP4,
97,CXCL13,ACKR4,
